time,x,y,z
1751971112.96095,-0.011642974,-0.044783577,0.061830325
1751971112.96897,-0.011686736,-0.044872613,0.06054436
1751971112.97696,-0.011686736,-0.044872613,0.06054436
1751971112.98499,-0.011729742,-0.04492134,0.058919895
1751971112.99296,-0.011723889,-0.044705486,0.05734378
1751971113.00095,-0.011723889,-0.044705486,0.05734378
1751971113.0089,-0.01164274,-0.044477737,0.055652888
1751971113.01697,-0.011468514,-0.044031616,0.053985624
1751971113.02498,-0.011417436,-0.043602536,0.052682713
1751971113.03295,-0.011417436,-0.043602536,0.052682713
1751971113.04096,-0.011153661,-0.042864019,0.051021189
1751971113.04896,-0.010965257,-0.041850798,0.04946836
1751971113.05695,-0.010965257,-0.041850798,0.04946836
1751971113.06499,-0.010649178,-0.040785733,0.048065274
1751971113.07299,-0.010163201,-0.039564678,0.046783877
1751971113.08095,-0.010163201,-0.039564678,0.046783877
1751971113.08894,-0.009734776,-0.038203231,0.04549454
1751971113.09701,-0.00925008,-0.037015277,0.044618681
1751971113.105,-0.00925008,-0.037015277,0.044618681
1751971113.11298,-0.008889786,-0.035513285,0.043469689
1751971113.12099,-0.008311775,-0.033846326,0.042529674
1751971113.12898,-0.008311775,-0.033846326,0.042529674
1751971113.13697,-0.007670758,-0.032014995,0.041716602
1751971113.14498,-0.007060319,-0.030154397,0.041039141
1751971113.15296,-0.007060319,-0.030154397,0.041039141
1751971113.16104,-0.006414516,-0.028089506,0.040592934
1751971113.16897,-0.005617508,-0.026433441,0.040418069
1751971113.17697,-0.004940937,-0.024275559,0.040261682
1751971113.18501,-0.004940937,-0.024275559,0.040261682
1751971113.193,-0.004352312,-0.022453812,0.040193931
1751971113.20101,-0.003512181,-0.020179313,0.040340517
1751971113.20897,-0.003512181,-0.020179313,0.040340517
1751971113.21699,-0.002705234,-0.018092311,0.04059095
1751971113.22501,-0.001996983,-0.016132532,0.040953544
1751971113.23299,-0.001279431,-0.013972196,0.041518352
1751971113.24098,-0.001279431,-0.013972196,0.041518352
1751971113.24896,-0.000474423,-0.011602119,0.042321892
1751971113.25698,0.00033182,-0.009397958,0.043287879
1751971113.26498,0.00033182,-0.009397958,0.043287879
1751971113.27298,0.001211309,-0.007197251,0.044290403
1751971113.28098,0.002010452,-0.005045377,0.045467221
1751971113.28902,0.002010452,-0.005045377,0.045467221
1751971113.29697,0.002617391,-0.003421391,0.046290387
1751971113.30499,0.003498081,-0.001460282,0.047705166
1751971113.31298,0.003498081,-0.001460282,0.047705166
1751971113.32097,0.004242233,0.000448823,0.049043993
1751971113.32902,0.005024902,0.001848881,0.050329325
1751971113.33696,0.005866528,0.003483901,0.051847153
1751971113.34497,0.005866528,0.003483901,0.051847153
1751971113.35302,0.006567903,0.005023261,0.053357244
1751971113.36098,0.007027446,0.006139174,0.054585902
1751971113.36901,0.007642357,0.007324634,0.056051319
1751971113.37697,0.007642357,0.007324634,0.056051319
1751971113.38497,0.008255443,0.008303388,0.057394607
1751971113.39297,0.008798469,0.009437117,0.058959166
1751971113.40098,0.008798469,0.009437117,0.058959166
1751971113.40896,0.009387446,0.010489457,0.060537621
1751971113.41699,0.009872535,0.011464857,0.062081761
1751971113.42498,0.010125094,0.012163409,0.063365883
1751971113.43292,0.010125094,0.012163409,0.063365883
1751971113.44089,0.010478734,0.012911918,0.065056336
1751971113.44894,0.010676513,0.013665229,0.066484879
1751971113.45693,0.010676513,0.013665229,0.066484879
1751971113.46496,0.010916919,0.014271311,0.067939233
1751971113.47297,0.010982278,0.014638044,0.069143368
1751971113.48099,0.010982278,0.014638044,0.069143368
1751971113.48894,0.010900633,0.015024726,0.070505707
1751971113.49694,0.010900508,0.015276612,0.071563256
1751971113.50495,0.010755685,0.01541678,0.072490938
1751971113.51297,0.010755685,0.01541678,0.072490938
1751971113.52093,0.010624385,0.015473295,0.073838778
1751971113.52895,0.010438988,0.015404856,0.074815776
1751971113.53698,0.010044667,0.015216971,0.075879082
1751971113.545,0.010044667,0.015216971,0.075879082
1751971113.55298,0.009843858,0.015020205,0.076793512
1751971113.56099,0.009433176,0.014644146,0.077829316
1751971113.56895,0.009433176,0.014644146,0.077829316
1751971113.57697,0.008876214,0.014190943,0.078767828
1751971113.58496,0.007943293,0.013679873,0.07897333
1751971113.59298,0.007943293,0.013679873,0.07897333
1751971113.60097,0.007605495,0.012982203,0.078904372
1751971113.60901,0.006898665,0.012053365,0.078726078
1751971113.61699,0.006898665,0.012053365,0.078726078
1751971113.62495,0.005719761,0.011120751,0.078741479
1751971113.63297,0.004925851,0.010339839,0.0788149
1751971113.64101,0.003921842,0.009282122,0.078694265
1751971113.64894,0.003921842,0.009282122,0.078694265
1751971113.65698,0.002775807,0.008057225,0.078558681
1751971113.66497,0.001933626,0.007033518,0.078513542
1751971113.67299,0.001933626,0.007033518,0.078513542
1751971113.68102,0.000686529,0.005650582,0.078509195
1751971113.68891,-0.000340869,0.004210692,0.078430683
1751971113.69692,-0.001129729,0.003199427,0.078401743
1751971113.70498,-0.001129729,0.003199427,0.078401743
1751971113.71298,-0.00215543,0.001935849,0.078332444
1751971113.72094,-0.002981439,0.000694449,0.07836453
1751971113.72897,-0.002981439,0.000694449,0.07836453
1751971113.73691,-0.003672003,-0.000416192,0.078316654
1751971113.74496,-0.004277532,-0.001616473,0.078271889
1751971113.75297,-0.004277532,-0.001616473,0.078271889
1751971113.76099,-0.004807174,-0.002625924,0.078272474
1751971113.76897,-0.005248888,-0.003635829,0.078254368
1751971113.77697,-0.005780122,-0.004978162,0.078215134
1751971113.78496,-0.005780122,-0.004978162,0.078215134
1751971113.79298,-0.006139684,-0.006430666,0.07820567
1751971113.80098,-0.006596448,-0.007869072,0.078198199
1751971113.80898,-0.006596448,-0.007869072,0.078198199
1751971113.81697,-0.007132316,-0.00951379,0.078084876
1751971113.82498,-0.007606664,-0.010935246,0.078077509
1751971113.83301,-0.007606664,-0.010935246,0.078077509
1751971113.84103,-0.008133085,-0.012611377,0.078017044
1751971113.84897,-0.008638366,-0.014174657,0.07788497
1751971113.85694,-0.008638366,-0.014174657,0.07788497
1751971113.86493,-0.008987803,-0.015771477,0.077734344
1751971113.873,-0.009387467,-0.017229736,0.077581156
1751971113.88098,-0.009613877,-0.018497437,0.07744564
1751971113.88897,-0.009613877,-0.018497437,0.07744564
1751971113.89696,-0.009876006,-0.019887255,0.07727907
1751971113.90496,-0.01013879,-0.021341609,0.077121324
1751971113.91298,-0.01013879,-0.021341609,0.077121324
1751971113.92098,-0.010364776,-0.022417365,0.077045279
1751971113.9289,-0.010721657,-0.02374312,0.076937147
1751971113.93694,-0.010721657,-0.02374312,0.076937147
1751971113.94496,-0.010933917,-0.025179053,0.076757601
1751971113.95299,-0.011057879,-0.026146278,0.076689884
1751971113.96098,-0.011167508,-0.027272344,0.076751185
1751971113.96896,-0.011167508,-0.027272344,0.076751185
1751971113.97695,-0.01139033,-0.02833034,0.076631482
1751971113.98495,-0.011550792,-0.029170603,0.076528738
1751971113.99302,-0.011622046,-0.030027917,0.076456044
1751971114.00097,-0.011622046,-0.030027917,0.076456044
